noun_right,1,,,,,,,
,,,,,,,,
Count of state,Column Labels,,,,,,,
,state_A,,state_A Total,state_B,,state_B Total,Grand Total,
120,2,1,3,,,,3,
window_dry.jpg,,,,,,,,
window_wet.jpg,2,1,3,,,,3,
121,3,5,8,,,,8,
cookie_broken.jpg,3,5,8,,,,8,
cookie_whole.jpg,,,,,,,,
122,6,4,10,,,,10,
cracker_broken.jpg,6,4,10,,,,10,
cracker_whole.jpg,,,,,,,,
123,4,,4,,,,4,
chocolatebar_broken.jpg,4,,4,,,,4,
chocolatebar_whole.jpg,,,,,,,,
124,5,6,11,,,,11,
vase_broken.jpg,5,6,11,,,,11,
vase_whole.jpg,,,,,,,,
125,6,6,12,,,,12,
glasses_broken.jpg,6,6,12,,,,12,
glasses_whole.jpg,,,,,,,,
126,7,6,13,1,,1,14,
egg_broken.jpg,7,6,13,,,,13,
egg_whole.jpg,,,,1,,1,1,
127,7,3,10,,,,10,
fence_broken.jpg,7,3,10,,,,10,
fence_whole.jpg,,,,,,,,
128,7,6,13,,,,13,
mirror_broken.jpg,7,6,13,,,,13,
mirror_whole.jpg,,,,,,,,
129,6,6,12,2,,2,14,
tire_broken.jpg,6,6,12,,,,12,
tire_whole.jpg,,,,2,,2,2,
130,5,3,8,,,,8,
cigarette_broken.jpg,5,3,8,,,,8,
cigarette_whole.jpg,,,,,,,,
131,6,6,12,,,,12,
pencil_broken.jpg,6,6,12,,,,12,
pencil_whole.jpg,,,,,,,,
132,6,6,12,,,,12,
piggybank_broken.jpg,6,6,12,,,,12,
piggybank_whole.jpg,,,,,,,,
133,1,,1,,,,1,
dogbone_broken.jpg,1,,1,,,,1,
dogbone_whole.jpg,,,,,,,,
134,8,7,15,,,,15,
plate_broken.jpg,8,7,15,,,,15,
plate_whole.jpg,,,,,,,,
135,7,7,14,,,,14,
table_broken.jpg,7,7,14,,,,14,
table_whole.jpg,,,,,,,,
136,4,6,10,,,,10,
chain_broken.jpg,4,6,10,,,,10,
chain_whole.jpg,,,,,,,,
137,,,,,,,,
mustard_ripped.jpg,,,,,,,,
mustard_whole.jpg,,,,,,,,
138,7,5,12,,,,12,
envelope_ripped.jpg,7,5,12,,,,12,
envelope_whole.jpg,,,,,,,,
139,1,,1,,,,1,
naan_ripped.jpg,1,,1,,,,1,
naan_whole.jpg,,,,,,,,
140,1,3,4,,,,4,
sugarpacket_ripped.jpg,1,3,4,,,,4,
sugarpacket_whole.jpg,,,,,,,,
141,3,4,7,,,,7,
notepad_ripped.jpg,3,4,7,,,,7,
notepad_whole.jpg,,,,,,,,
142,3,,3,,,,3,
chipbag_ripped.jpg,3,,3,,,,3,
chipbag_whole.jpg,,,,,,,,
143,2,,2,1,1,2,4,
jar_empty.jpg,2,,2,,,,2,
jar_full.jpg,,,,1,1,2,2,
144,,,,1,1,2,2,
garbagecan_empty.jpg,,,,,,,,
garbagecan_full.jpg,,,,1,1,2,2,
145,,,,1,,1,1,
hamper_empty.jpg,,,,,,,,
hamper_full.jpg,,,,1,,1,1,
146,3,1,4,,,,4,
eggcarton_empty.jpg,3,1,4,,,,4,
eggcarton_full.jpg,,,,,,,,
147,,1,1,1,,1,2,
wineglass_empty.jpg,,1,1,,,,1,
wineglass_full.jpg,,,,1,,1,1,
148,,,,2,1,3,3,
shoppingcart_empty.jpg,,,,,,,,
shoppingcart_full.jpg,,,,2,1,3,3,
Grand Total,287,218,505,17,11,28,533,
,,,,,,,,
,,,,,,,,
ALL nouns,302,226,528,27,16,43,571,
